Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Ish Smith (11735485),Ish Smith,11735485,PG/G/UTIL,3600,GS@DET 12/01/2018 07:00PM ET,DET,18.88
PG,Aaron Holiday (11735488),Aaron Holiday,11735488,PG/G/UTIL,3600,IND@SAC 12/01/2018 10:00PM ET,IND,11.73
SG/SF,Alec Burks (11735491),Alec Burks,11735491,SG/SF/F/G/UTIL,3500,TOR@CLE 12/01/2018 08:00PM ET,CLE,14.43
PG/SG,Austin Rivers (11735496),Austin Rivers,11735496,PG/SG/G/UTIL,3500,BKN@WAS 12/01/2018 07:00PM ET,WAS,14.80
PG/SG,Langston Galloway (11735508),Langston Galloway,11735508,PG/SG/G/UTIL,3500,GS@DET 12/01/2018 07:00PM ET,DET,15.99
SF/PF,Carmelo Anthony (11735500),Carmelo Anthony,11735500,SF/PF/F/UTIL,3500,CHI@HOU 12/01/2018 08:00PM ET,HOU,23.75
SF/PF,Doug McDermott (11735504),Doug McDermott,11735504,SF/PF/F/UTIL,3500,IND@SAC 12/01/2018 10:00PM ET,IND,11.54
PG/SG,Delon Wright (11735517),Delon Wright,11735517,PG/SG/G/UTIL,3400,TOR@CLE 12/01/2018 08:00PM ET,TOR,12.64
PG/SG,Tomas Satoransky (11735521),Tomas Satoransky,11735521,PG/SG/G/UTIL,3400,BKN@WAS 12/01/2018 07:00PM ET,WAS,12.74
SF/PF,DeMarre Carroll (11735525),DeMarre Carroll,11735525,SF/PF/F/UTIL,3400,BKN@WAS 12/01/2018 07:00PM ET,BKN,17.42
PF/C,Ed Davis (11735529),Ed Davis,11735529,PF/C/F/UTIL,3400,BKN@WAS 12/01/2018 07:00PM ET,BKN,18.56
C,Aron Baynes (11735515),Aron Baynes,11735515,C/UTIL,3400,BOS@MIN 12/01/2018 08:00PM ET,BOS,15.30
SF,Justin Jackson (11735512),Justin Jackson,11735512,SF/F/UTIL,3400,IND@SAC 12/01/2018 10:00PM ET,SAC,13.92
SF,OG Anunoby (11735533),OG Anunoby,11735533,SF/F/UTIL,3300,TOR@CLE 12/01/2018 08:00PM ET,TOR,14.57
SG/SF,J.R. Smith (11735536),J.R. Smith,11735536,SG/SF/F/G/UTIL,3300,TOR@CLE 12/01/2018 08:00PM ET,CLE,14.23
C,Thomas Bryant (11735541),Thomas Bryant,11735541,C/UTIL,3300,BKN@WAS 12/01/2018 07:00PM ET,WAS,11.06
PF/C,Gorgui Dieng (11735543),Gorgui Dieng,11735543,PF/C/F/UTIL,3300,BOS@MIN 12/01/2018 08:00PM ET,MIN,13.90
SG,Josh Okogie (11735547),Josh Okogie,11735547,SG/G/UTIL,3300,BOS@MIN 12/01/2018 08:00PM ET,MIN,16.25
C,Damian Jones (11735560),Damian Jones,11735560,C/UTIL,3300,GS@DET 12/01/2018 07:00PM ET,GS,13.63
PF,Jordan Bell (11735562),Jordan Bell,11735562,PF/F/UTIL,3300,GS@DET 12/01/2018 07:00PM ET,GS,10.49
