Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Kevin Huerter (11720734),Kevin Huerter,11720734,SG/SF/F/G/UTIL,3300,ATL@CHA 11/28/2018 07:00PM ET,ATL,13.91
PF/C,Omari Spellman (11720762),Omari Spellman,11720762,PF/C/F/UTIL,3300,ATL@CHA 11/28/2018 07:00PM ET,ATL,17.37
C,Jakob Poeltl (11720720),Jakob Poeltl,11720720,C/UTIL,3300,SA@MIN 11/28/2018 08:00PM ET,SA,11.66
SG/SF,Josh Okogie (11720739),Josh Okogie,11720739,SG/SF/F/G/UTIL,3300,SA@MIN 11/28/2018 08:00PM ET,MIN,15.93
PF/C,Gorgui Dieng (11720766),Gorgui Dieng,11720766,PF/C/F/UTIL,3300,SA@MIN 11/28/2018 08:00PM ET,MIN,13.70
PF/C,Khem Birch (11720716),Khem Birch,11720716,PF/C/F/UTIL,3300,ORL@POR 11/28/2018 10:00PM ET,ORL,4.61
C,Nene Hilario (11720744),Nene Hilario,11720744,C/UTIL,3300,DAL@HOU 11/28/2018 08:00PM ET,HOU,0
SG/SF,Gerald Green (11720746),Gerald Green,11720746,SG/SF/F/G/UTIL,3300,DAL@HOU 11/28/2018 08:00PM ET,HOU,11.17
PG,Jalen Brunson (11720751),Jalen Brunson,11720751,PG/G/UTIL,3300,DAL@HOU 11/28/2018 08:00PM ET,DAL,9.36
PF/C,Dwight Powell (11720770),Dwight Powell,11720770,PF/C/F/UTIL,3300,DAL@HOU 11/28/2018 08:00PM ET,DAL,17.67
SG/SF,J.R. Smith (11720754),J.R. Smith,11720754,SG/SF/F/G/UTIL,3300,CLE@OKC 11/28/2018 08:00PM ET,CLE,14.23
C,Nerlens Noel (11720774),Nerlens Noel,11720774,C/UTIL,3300,CLE@OKC 11/28/2018 08:00PM ET,OKC,16.26
PF/C,Thomas Bryant (11720776),Thomas Bryant,11720776,PF/C/F/UTIL,3300,WAS@NO 11/28/2018 08:00PM ET,WAS,10.65
PG/SG,Donte DiVincenzo (11720780),Donte DiVincenzo,11720780,PG/SG/G/UTIL,3200,CHI@MIL 11/28/2018 08:00PM ET,MIL,13.42
PG/SG,Antonio Blakeney (11720864),Antonio Blakeney,11720864,PG/SG/G/UTIL,3200,CHI@MIL 11/28/2018 08:00PM ET,CHI,15
PG,Isaiah Canaan (11720868),Isaiah Canaan,11720868,PG/G/UTIL,3200,PHO@LAC 11/28/2018 10:30PM ET,PHO,16.75
C,Guillermo Hernangomez (11720798),Guillermo Hernangomez,11720798,C/UTIL,3200,ATL@CHA 11/28/2018 07:00PM ET,CHA,17.27
SF/PF,Alex Poythress (11720800),Alex Poythress,11720800,SF/PF/F/UTIL,3200,ATL@CHA 11/28/2018 07:00PM ET,ATL,12.10
