Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Denzel Valentine (11695906),Denzel Valentine,11695906,SG/SF/F/G/UTIL,3000,CHI@MIN 11/24/2018 08:00PM ET,CHI,0
C,Cristiano Felicio (11695958),Cristiano Felicio,11695958,C/UTIL,3000,CHI@MIN 11/24/2018 08:00PM ET,CHI,10.08
SF,Keita Bates-Diop (11695976),Keita Bates-Diop,11695976,SF/F/UTIL,3000,CHI@MIN 11/24/2018 08:00PM ET,MIN,4.88
PG,Tyler Ulis (11695982),Tyler Ulis,11695982,PG/G/UTIL,3000,CHI@MIN 11/24/2018 08:00PM ET,CHI,0
PG,Jared Terrell (11695991),Jared Terrell,11695991,PG/G/UTIL,3000,CHI@MIN 11/24/2018 08:00PM ET,MIN,12.25
PG,Rawle Alkins (11696033),Rawle Alkins,11696033,PG/G/UTIL,3000,CHI@MIN 11/24/2018 08:00PM ET,CHI,0
PF/C,Patrick Patterson (11695773),Patrick Patterson,11695773,PF/C/F/UTIL,3000,DEN@OKC 11/24/2018 08:00PM ET,OKC,10.67
SG/SF,Andre Roberson (11695833),Andre Roberson,11695833,SG/SF/F/G/UTIL,3000,DEN@OKC 11/24/2018 08:00PM ET,OKC,0
SG/SF,Torrey Craig (11695851),Torrey Craig,11695851,SG/SF/F/G/UTIL,3000,DEN@OKC 11/24/2018 08:00PM ET,DEN,9.23
PF,Abdel Nader (11695878),Abdel Nader,11695878,PF/F/UTIL,3000,DEN@OKC 11/24/2018 08:00PM ET,OKC,2.32
SG/SF,Alex Abrines (11695915),Alex Abrines,11695915,SG/SF/F/G/UTIL,3000,DEN@OKC 11/24/2018 08:00PM ET,OKC,11.53
SG,Deonte Burton (11695923),Deonte Burton,11695923,SG/G/UTIL,3000,DEN@OKC 11/24/2018 08:00PM ET,OKC,6.22
C,Thomas Welsh (11695989),Thomas Welsh,11695989,C/UTIL,3000,DEN@OKC 11/24/2018 08:00PM ET,DEN,3.92
PG,DeVaughn Akoon-Purcell (11695997),DeVaughn Akoon-Purcell,11695997,PG/G/UTIL,3000,DEN@OKC 11/24/2018 08:00PM ET,DEN,2.95
PF,Tyler Lydon (11696009),Tyler Lydon,11696009,PF/F/UTIL,3000,DEN@OKC 11/24/2018 08:00PM ET,DEN,2.83
C,Tyler Davis (11696016),Tyler Davis,11696016,C/UTIL,3000,DEN@OKC 11/24/2018 08:00PM ET,OKC,0
SF,Terrance Ferguson (11696042),Terrance Ferguson,11696042,SF/F/UTIL,3000,DEN@OKC 11/24/2018 08:00PM ET,OKC,9
SF/PF,Michael Porter Jr. (11696047),Michael Porter Jr.,11696047,SF/PF/F/UTIL,3000,DEN@OKC 11/24/2018 08:00PM ET,DEN,0
SF/PF,Jarred Vanderbilt (11696051),Jarred Vanderbilt,11696051,SF/PF/F/UTIL,3000,DEN@OKC 11/24/2018 08:00PM ET,DEN,0
