Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Elie Okobo (11676997),Elie Okobo,11676997,PG/G/UTIL,3000,PHO@CHI 11/21/2018 08:00PM ET,PHO,11.77
C,Robin Lopez (11677000),Robin Lopez,11677000,C/UTIL,3000,PHO@CHI 11/21/2018 08:00PM ET,CHI,8.93
C,Cristiano Felicio (11677002),Cristiano Felicio,11677002,C/UTIL,3000,PHO@CHI 11/21/2018 08:00PM ET,CHI,10.79
SG/SF,Denzel Valentine (11677173),Denzel Valentine,11677173,SG/SF/F/G/UTIL,3000,PHO@CHI 11/21/2018 08:00PM ET,CHI,0
C,Moritz Wagner (11676687),Moritz Wagner,11676687,C/UTIL,3000,LAL@CLE 11/21/2018 08:00PM ET,LAL,0
C,Isaac Bonga (11676689),Isaac Bonga,11676689,C/UTIL,3000,LAL@CLE 11/21/2018 08:00PM ET,LAL,0
PF,Billy Preston (11676691),Billy Preston,11676691,PF/F/UTIL,3000,LAL@CLE 11/21/2018 08:00PM ET,CLE,0
SG,Sviatoslav Mykhailiuk (11676968),Sviatoslav Mykhailiuk,11676968,SG/G/UTIL,3000,LAL@CLE 11/21/2018 08:00PM ET,LAL,5.06
SG,Alex Caruso (11677004),Alex Caruso,11677004,SG/G/UTIL,3000,LAL@CLE 11/21/2018 08:00PM ET,LAL,0
PF,Johnathan Williams (11677007),Johnathan Williams,11677007,PF/F/UTIL,3000,LAL@CLE 11/21/2018 08:00PM ET,LAL,10.38
SF/PF,Michael Beasley (11677010),Michael Beasley,11677010,SF/PF/F/UTIL,3000,LAL@CLE 11/21/2018 08:00PM ET,LAL,4
C,Ivica Zubac (11677014),Ivica Zubac,11677014,C/UTIL,3000,LAL@CLE 11/21/2018 08:00PM ET,LAL,8.65
PF/C,Channing Frye (11677016),Channing Frye,11677016,PF/C/F/UTIL,3000,LAL@CLE 11/21/2018 08:00PM ET,CLE,7.92
SG,Gary Trent Jr. (11676694),Gary Trent Jr.,11676694,SG/G/UTIL,3000,POR@MIL 11/21/2018 08:00PM ET,POR,7.12
PG,Wade Baldwin IV (11676697),Wade Baldwin IV,11676697,PG/G/UTIL,3000,POR@MIL 11/21/2018 08:00PM ET,POR,1.9
PG,Trevon Duval (11676700),Trevon Duval,11676700,PG/G/UTIL,3000,POR@MIL 11/21/2018 08:00PM ET,MIL,0
