Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Isaiah Briscoe (11703853),Isaiah Briscoe,11703853,PG/G/UTIL,3000,ORL@GS 11/26/2018 10:30PM ET,ORL,4.06
SF,Melvin Frazier (11703856),Melvin Frazier,11703856,SF/F/UTIL,3000,ORL@GS 11/26/2018 10:30PM ET,ORL,-0.25
SG,Wes Iwundu (11703859),Wes Iwundu,11703859,SG/G/UTIL,3000,ORL@GS 11/26/2018 10:30PM ET,ORL,10.08
SG,Troy Caupain (11703862),Troy Caupain,11703862,SG/G/UTIL,3000,ORL@GS 11/26/2018 10:30PM ET,ORL,0
SG,Damion Lee (11703865),Damion Lee,11703865,SG/G/UTIL,3000,ORL@GS 11/26/2018 10:30PM ET,GS,10.06
PG,Shaun Livingston (11703868),Shaun Livingston,11703868,PG/G/UTIL,3000,ORL@GS 11/26/2018 10:30PM ET,GS,12.75
SF,Marcus Derrickson (11703871),Marcus Derrickson,11703871,SF/F/UTIL,3000,ORL@GS 11/26/2018 10:30PM ET,GS,1.38
SG,Jacob Evans III (11703874),Jacob Evans III,11703874,SG/G/UTIL,3000,ORL@GS 11/26/2018 10:30PM ET,GS,2.69
C,Tony Bradley (11703877),Tony Bradley,11703877,C/UTIL,3000,IND@UTA 11/26/2018 09:00PM ET,UTA,0
PF,Tyler Cavanaugh (11703879),Tyler Cavanaugh,11703879,PF/F/UTIL,3000,IND@UTA 11/26/2018 09:00PM ET,UTA,0
PG,Nazareth Mitrou-Long (11703882),Nazareth Mitrou-Long,11703882,PG/G/UTIL,3000,IND@UTA 11/26/2018 09:00PM ET,UTA,0
PF,Georges Niang (11703885),Georges Niang,11703885,PF/F/UTIL,3000,IND@UTA 11/26/2018 09:00PM ET,UTA,6.28
PG,Raul Neto (11703888),Raul Neto,11703888,PG/G/UTIL,3000,IND@UTA 11/26/2018 09:00PM ET,UTA,9.42
C,Ekpe Udoh (11703891),Ekpe Udoh,11703891,C/UTIL,3000,IND@UTA 11/26/2018 09:00PM ET,UTA,3.41
SG,Davon Reed (11703893),Davon Reed,11703893,SG/G/UTIL,3000,IND@UTA 11/26/2018 09:00PM ET,IND,0
PF/C,Ike Anigbogu (11703896),Ike Anigbogu,11703896,PF/C/F/UTIL,3000,IND@UTA 11/26/2018 09:00PM ET,IND,2.75
PG,Edmond Sumner (11703900),Edmond Sumner,11703900,PG/G/UTIL,3000,IND@UTA 11/26/2018 09:00PM ET,IND,1.25
PF,Alize Johnson (11703903),Alize Johnson,11703903,PF/F/UTIL,3000,IND@UTA 11/26/2018 09:00PM ET,IND,2.33
